# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Fri Feb 21 18:17:57 CET 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: SDSS <i>ugriz</i>
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  umag    gmag    rmag    imag    zmag
0.00015547 -2.00000 10.00000 0.8000000119 2.4187245369    0.799  0.350  3.8244  4.240    1  0.000  0.529     0.00     0.00 -1 -2.37e-13      0.00 8.552e-01 1.447e-01 1.898e-05 5.230e-06 4.786e-05 -1.000 6.817e-05 3.894 4.924 4.116 3.932 3.901 3.933
0.00015547 -2.00000 10.00000 0.8010567427 2.4190936089    0.800  0.359  3.8248  4.234    1  0.000  0.529     0.00     0.00 -1 -2.43e-13      0.00 8.552e-01 1.447e-01 1.898e-05 5.232e-06 4.788e-05 -1.000 6.554e-05 3.873 4.903 4.094 3.911 3.881 3.913
0.00015547 -2.00000 10.00000 0.8070230484 2.4211561680    0.806  0.409  3.8269  4.195    1  0.000  0.529     0.00     0.00 -1 -2.84e-13      0.00 8.546e-01 1.452e-01 1.905e-05 5.250e-06 4.805e-05 -1.000 1.091e-04 3.747 4.780 3.960 3.785 3.759 3.793
0.00015547 -2.00000 10.00000 0.8136357665 2.4234015942    0.812  0.469  3.8285  4.145    1  0.000  0.529     0.00     0.00 -1 -3.44e-13      0.00 8.526e-01 1.473e-01 1.927e-05 5.309e-06 4.858e-05 -1.000 1.176e-04 3.598 4.634 3.803 3.634 3.612 3.648
0.00015547 -2.00000 10.00000 0.8149558902 2.4238448143    0.814  0.482  3.8286  4.133    1  0.000  0.529     0.00     0.00 -1 -3.61e-13      0.00 8.522e-01 1.477e-01 1.931e-05 5.321e-06 4.869e-05 -1.000 1.194e-04 3.566 4.603 3.770 3.601 3.579 3.616
0.00015547 -2.00000 10.00000 0.8157649636 2.4241156578    0.814  0.490  3.8286  4.125    1  0.000  0.529     0.00     0.00 -1 -3.72e-13      0.00 8.519e-01 1.479e-01 1.934e-05 5.329e-06 4.876e-05 -1.000 1.205e-04 3.544 4.582 3.748 3.579 3.558 3.594
0.00015547 -2.00000 10.00000 0.8203254342 2.4256308079    0.819  0.541  3.8275  4.072    1  0.000  0.529     0.00     0.00 -1  -4.4e-13      0.00 8.505e-01 1.494e-01 1.949e-05 5.370e-06 4.913e-05 -1.000 1.264e-04 3.418 4.462 3.621 3.451 3.428 3.464
0.00015547 -2.00000 10.00000 0.8246924877 2.4270637035    0.823  0.597  3.8239  4.004    1  0.000  0.529     0.00     0.00 -1  -5.4e-13      0.00 8.492e-01 1.507e-01 1.963e-05 5.409e-06 4.949e-05 -1.000 1.319e-04 3.278 4.332 3.486 3.308 3.280 3.312
0.00015547 -2.00000 10.00000 0.8254671693 2.4273159504    0.824  0.608  3.8229  3.990    1  0.000  0.529     0.00     0.00 -1 -5.64e-13      0.00 8.489e-01 1.510e-01 1.966e-05 5.416e-06 4.955e-05 -1.000 1.329e-04 3.251 4.308 3.461 3.280 3.251 3.281
0.00015547 -2.00000 10.00000 0.8261401653 2.4275348186    0.825  0.618  3.8217  3.975    2  0.000  0.529     0.00     0.00 -1 -5.89e-13      0.00 8.487e-01 1.512e-01 1.968e-05 5.422e-06 4.960e-05 -1.000 1.338e-04 3.225 4.284 3.437 3.254 3.222 3.251
