#id_star,coord1,coord2,ra,dec,star_distance,age,U,V,W,rV,pmra,pmdec,met,component,ebv,Z,log_age,M_ini,M_act,log_L,log_T,log_g,m_bol,mag_u,mag_g,mag_r,mag_i,mag_z,int_IMF,stage,mag_u_corr,mag_g_corr,mag_r_corr,mag_i_corr,mag_z_corr
54,110.5869145513588,-24.140151950422386,358.5736,37.3503,24860.8436,11.991,154.5402,-104.7333,-6.603,-136.3587,1.5433,0.173,-1.6998,1,0.1167,3.1E-4,10.0792,0.6619049779851288,0.6616711060481797,-0.34944529884028186,3.7619556359322077,4.607935191329154,5.643770153077511,6.92638948617293,6.048623742729595,5.636799435147093,5.502887281355843,5.462945845495009,2.9999289504069346,1.0,25.273463387087315,22.839163265253983,22.485542515347152,22.186836594976057,22.929382904147282
55,110.57917974097606,-24.087830857117464,358.5492,37.3994,24697.9175,11.978,169.1737,-97.6293,-16.6115,-130.9473,1.6553,0.162,-1.746,1,0.1167,3.1E-4,10.0792,0.7029370798581595,0.7025658053469325,-0.14829075864884356,3.7829870962563747,4.516670540821872,5.140303240650595,6.292791415340235,5.487165607852985,5.1503720570494,5.0497462495621495,5.03450968984701,3.0241716627854447,1.0,23.255995531128928,22.408805292748664,22.137107202329744,22.160643028389636,22.623468461825265
59,110.57696467102532,-24.09603956526522,358.5492,37.3909,24591.468,12.0862,159.3981,-124.3659,-5.9779,-154.9865,1.6681,0.1471,-1.664,1,0.1167,3.1E-4,10.0828,0.6726025640804997,0.672299587486712,-0.29609246018295643,3.7678235934454207,4.585003705741621,5.510604950159456,6.75278739544564,5.8986817692273235,5.506090546584231,5.381052137050297,5.347528131091588,3.0065210210149984,1.0,23.649796461743794,22.460460271983887,22.408611417334264,22.58806742039744,22.15207414714201
60,110.60234516917285,-24.102343058637715,358.5794,37.3904,24735.1638,12.0217,150.4932,-106.4782,7.8877,-142.5389,1.5003,0.2666,-1.7171,1,0.1167,3.1E-4,10.0792,0.8043885354696225,0.7946934413722979,2.2118391191971045,3.6907737654891917,1.8416493841319617,-0.7593510773066119,1.27614737839874,-0.05015431847555194,-0.6942854910295919,-0.9403510773066118,-1.070390429072824,3.0737607194825687,3.0,18.24332433457376,16.931907834930705,16.271907986347316,16.019649275076613,15.884407524642835
61,110.61384084605471,-24.10702699171522,358.5936,37.3883,24907.0637,12.016,170.0085,-132.5586,-9.7142,-163.917,1.7629,0.1293,-1.6181,1,0.1167,3.9E-4,10.0792,0.7997390814431423,0.798105815034419,0.7894303125470034,3.743870924827905,3.4781650168334552,2.7959532938045863,4.214185895181345,3.2460695944929654,2.798953293804586,2.6448951434603964,2.585836993116207,3.071757683678458,3.0,21.15104428443854,20.27714065636249,19.801883414610515,19.621519336091,19.562802943680477
64,110.58906082346263,-24.140637230177816,358.5762,37.3503,24956.1505,12.034,156.0028,-97.4845,-4.16,-131.6381,1.5172,0.2127,-1.7269,1,0.1167,3.1E-4,10.0792,0.7252890450866187,0.724778499755176,-0.02259741712864461,3.793299795068635,4.445880549068828,4.826164581970864,5.9325863896127355,5.142638859403763,4.851901208358901,4.770690304537965,4.767426930926001,3.0362486243148057,1.0,23.132096292458012,22.008769294665857,21.954326704725034,21.644628552479755,21.739853993609277
66,110.61510635348226,-24.086223568969427,358.5887,37.4088,24719.5985,12.0312,171.8594,-126.2233,-15.5969,-156.7306,1.7777,0.1073,-1.6782,1,0.1167,3.1E-4,10.0792,0.7693420291729857,0.7684684860025439,0.2993986883872256,3.8104301600733748,4.217786580634933,4.021242507577159,5.095285593396266,4.283113250119839,4.056242507577159,4.0048071363058195,4.021328679215373,3.0580646391073256,1.0,21.856319830521443,21.280309413075226,21.130578079515494,20.98613802916076,20.80623919159625
67,110.61536027438282,-24.076075123471096,358.586,37.4187,25057.2592,11.9982,155.2582,-88.6756,6.2613,-128.2408,1.4544,0.3087,-1.6446,1,0.1167,3.9E-4,10.0792,0.8084130231426288,0.7401,1.792348475853835,3.7624533837093876,2.516948042765541,0.289086269819977,1.6499790269095593,0.640638702546079,0.2824265941834572,0.16540562109301649,0.1293846480025757,3.0754756116566453,4.0,18.60522357769642,17.681240589325398,17.256259717660097,17.157037960414858,17.132819865553888
70,110.58719132010587,-24.117511247881488,358.5671,37.3723,25274.2528,12.0579,156.8782,-119.9681,-22.6217,-143.6081,1.6195,0.0225,-1.7197,1,0.1167,3.1E-4,10.0828,0.7229604310585953,0.7224148234998364,-0.03077147856122049,3.7924959432890817,4.4496158101692584,4.847079745303649,5.95562100687019,5.1648293980749695,4.871496527713209,4.789121701327548,4.785142679339498,3.035022921739641,1.0,23.62609004259212,22.229285223248052,21.79921745407483,21.669819460356102,21.59562898581422
73,110.60025020575968,-24.074400450722557,358.5686,37.417,24940.6643,11.9885,123.0703,-61.509,20.7044,-100.5488,1.0968,0.3853,-1.599,1,0.1167,3.9E-4,10.0792,0.7926421639899648,0.791322741988221,0.5545130333549954,3.794101451384376,3.910307933507989,3.384002255287031,4.528381288424046,3.6730903204711627,3.399926448659628,3.3257748354048213,3.3250535448009764,3.068653210246596,2.0,21.428915397364342,20.674470849657787,20.413287478253423,20.353960414289787,19.96305933904375
