#id_star,coord1,coord2,ra,dec,star_distance,age,U,V,W,rV,pmra,pmdec,met,component,ebv,Z,log_age,M_ini,M_act,log_L,log_T,log_g,m_bol,mag_u,mag_g,mag_r,mag_i,mag_z,int_IMF,stage,mag_u_corr,mag_g_corr,mag_r_corr,mag_i_corr,mag_z_corr
45,113.77704192549595,-21.086910781810662,1.437,40.9651,17965.8966,12.0386,132.4234,-90.3823,14.5985,-132.2394,1.8104,0.3842,-1.9051,1,0.0739,1.96E-4,10.0792,0.5981515249257251,0.5979552022848332,-0.6226525867909914,3.728553570711257,4.703573104628769,6.326409194398048,7.897572289554157,6.859030431159487,6.330259501962152,6.139558886833942,6.058338880328923,2.9558918547827373,1.0,23.357584275276594,22.944137825033796,22.28363710881419,22.138198063570332,22.59066531387273
46,113.8129104544438,-21.071431303107858,1.4767,40.9866,18313.0822,11.9813,163.8813,-82.7111,-6.0458,-130.1792,2.0937,0.2941,-1.8555,1,0.0739,1.96E-4,10.0792,0.7283252371505353,0.7277722790500768,0.019474458196558436,3.7982751815955402,4.4256046428794695,4.721431053358326,5.80033671317282,5.029805508571705,4.761306234953865,4.6875878027460605,4.688931779740486,3.037830579040048,1.0,22.282987929971288,21.316503663532764,21.091860154401672,21.08985503817767,21.003025845402888
48,113.69880159449626,-21.266372226552306,1.3872,40.775,18239.9646,11.9989,146.2726,-86.3839,-1.0483,-128.1204,1.9333,0.2749,-1.9154,1,0.0739,1.96E-4,10.0792,0.61914552926055,0.6189148337373235,-0.5300353433019301,3.740847224146486,4.675200795712755,6.095348833854252,7.536169909173362,6.5774688835023545,6.094348833854252,5.923725955433637,5.858019272217604,2.9714032874950083,1.0,23.98691810482623,22.87893408338686,22.145668108174686,22.120417678958468,21.78092528890034
50,113.86809381166478,-21.107106367424574,1.5525,40.9612,18156.5877,11.9775,180.6226,-82.6443,-7.1657,-136.1079,2.2835,0.3441,-1.9505,1,0.0739,1.55E-4,10.0792,0.5950286393735595,0.5948385631270998,-0.6329499661772979,3.7278745391468604,4.708609645281352,6.3521000585450835,7.92271803300565,6.891429080032852,6.360287465583236,6.166713796321645,6.083432685764416,2.953345838527628,1.0,23.03528624405138,23.008729577082846,22.328724757975465,22.54244387885291,22.403612898151046
51,113.85591200591617,-21.207670130646825,1.5626,40.8603,18031.9939,12.0191,162.4835,-100.2491,2.1878,-147.5306,2.1896,0.3283,-1.913,1,0.0739,1.96E-4,10.0792,0.713703533048779,0.7132383680161141,-0.06906840913120499,3.7915062908311126,4.478312065077657,4.942508129651069,6.045082966326618,5.271340829865508,4.9744175658977365,4.8889785748521835,4.882236438391074,3.0300782100339356,1.0,21.973467002768512,21.59371340250962,21.287045631018707,21.257066137799942,21.216031259064984
52,113.84794626659419,-21.20534588199716,1.5524,40.8612,18254.4341,11.9318,167.3423,-84.8681,-9.433,-132.0316,2.1538,0.2636,-1.883,1,0.0739,1.96E-4,10.0755,0.7895230987019879,0.788190573648699,0.5923501065776987,3.799940847522304,3.8940101413944177,3.288927875672854,4.406195906754641,3.569014759457242,3.3203530126096563,3.2544158549516626,3.2588724130594686,3.0672715728550903,2.0,20.63962657223186,19.915949306362496,19.657584807558614,19.588009331661187,19.64381510215393
53,113.81164342477102,-21.04643495277291,1.4689,41.0109,17942.426,11.9951,179.6015,-99.3995,-24.108,-143.8876,2.4251,0.1154,-1.9064,1,0.0739,1.96E-4,10.0792,0.6384318465413423,0.6381615231155223,-0.4431581371950792,3.752191482118526,4.646638418317339,5.878141769467443,7.221398477254421,6.320841593766031,5.877156063548462,5.724327592520699,5.672427651087837,2.984734932900009,1.0,23.712019898499722,22.463954642614762,21.979300131078773,21.971082447143452,22.100275833968574
55,113.71090739778202,-21.16142772743331,1.3755,40.8802,18139.3691,11.9107,120.9027,-68.8775,-29.7149,-93.4229,1.6528,-0.0709,-1.8916,1,0.0739,1.96E-4,10.0755,0.6119737018956979,0.6117918383368622,-0.5638039641734522,3.73641947144354,4.686040005160333,6.179694778939557,7.66650006450416,6.679921103555916,6.180173726986969,6.002039512726202,5.9311237205365535,2.9662279484542755,1.0,23.870585075235947,22.797871400271358,22.403798786795015,22.233846709309454,22.73516347743972
56,113.69748063035857,-21.186184866440197,1.3655,40.8535,17782.662,11.9315,154.4473,-68.1912,-0.4867,-115.9231,1.9677,0.3732,-1.8991,1,0.0739,1.96E-4,10.0755,0.7963580625963553,0.7946301316454742,0.8562930767837778,3.744729254008979,3.4128440270157885,2.6294670886314315,4.015772793268651,3.082069721540917,2.643567527449679,2.4883666498131842,2.4271657721766893,3.0702858345744706,3.0,20.271172080813,19.326595996331683,18.90609072212604,18.747510559826633,18.65187449758047
57,113.81059492208985,-21.187391975519144,1.5027,40.8723,17715.9611,12.0172,156.5787,-64.2391,-17.7801,-107.3127,2.0124,0.2027,-1.9252,1,0.0739,1.96E-4,10.0792,0.7182633156999773,0.7177825849881329,-0.04249755865308534,3.7936485199268195,4.463111248556171,4.876047362341772,5.970481008306962,5.1986948711431955,4.910902813686708,4.829185990704113,4.82504144204905,3.032534560583241,1.0,22.460396188624202,21.415982625840225,21.128226351587223,21.089971008148485,20.847192951371955
